Candidate_1,total_snub_coverage,Candidate,Candidate_2,total_fave_coverage,Net_coverage,name,median_CPPP,median_CPPP_adj,median_polling,Elo,combined,Polling
Amy Klobuchar,2746,Amy Klobuchar,Amy Klobuchar,2974,228,Amy Klobuchar,146.57632773513802,0.01564183613051437,1.5450818759632365,1104,11086,1.5884152155431241
Bernie Sanders,4455,Bernie Sanders,Bernie Sanders,3031,-1424,Bernie Sanders,53.42699857750038,-0.23826400719307944,18.577029306563983,1022,48215,19.456375499859288
Beto O'Rourke,8e3,Beto O'Rourke,Beto O'Rourke,2129,-5871,Beto O'Rourke,55.79494600864609,-0.4288836866178346,3.816027026284342,836,13555,4.727187561972392
Cory Booker,1770,Cory Booker,Cory Booker,6730,4960,Cory Booker,131.2340555381552,0.22333995638168147,2.6569329717310106,1207,18817,2.9051185781676656
Joe Biden,4196,Joe Biden,NA,0,-4196,Joe Biden,62.53485836664898,-0.07877648715997299,30.13259696392452,958,90718,31.00597415784765
John Hickenlooper,1893,John Hickenlooper,John Hickenlooper,901,-992,John Hickenlooper,93.82541309253355,-0.5538381710755103,0.8456247949270868,1205,3384,0.7921715402980389
Julian Castro,2257,Julian Castro,Julian Castro,3364,1107,Julian Castro,127.97746258876259,-0.24552476079814617,1.0089497015663034,1146,8754,1.1012292960764454
Kamala Harris,3818,Kamala Harris,Kamala Harris,4654,836,Kamala Harris,76.34647845286385,-0.01886605135664656,8.202710272314839,1169,34094,8.686764821239352
Steve Bullock,1831,Steve Bullock,Steve Bullock,1012,-819,Steve Bullock,57.01155637480742,-0.7641373273998062,0.7259522412337096,1290,2834,0.6625641918589511
Elizabeth Warren,2007,Elizabeth Warren,Elizabeth Warren,4919,2912,Elizabeth Warren,90.30937351277132,0.18568020527985307,12.54317988239643,1335,47928,12.490819188255065
Tulsi Gabbard,3913,Tulsi Gabbard,Tulsi Gabbard,1629,-2284,Tulsi Gabbard,95.10726872133068,-0.46206337231080974,0.9199255470749617,1098,6146,0.9349357772582884
Pete Buttigieg,4012,Pete Buttigieg,Pete Buttigieg,756,-3256,Pete Buttigieg,97.87771039145196,0.018848204650043457,5.247623520392434,1068,18912,4.770514551302373
Jay Inslee,374,Jay Inslee,Jay Inslee,1911,1537,Jay Inslee,309.2232890286471,-0.2710534511087255,0.4264912214952973,1583,4181,0.36793550440982853
Andrew Yang,5416,Andrew Yang,Andrew Yang,25,-5391,Andrew Yang,71.22812928492478,-0.5281115821375925,1.63765193480268,675,5323,1.679750310328028
John Delaney,2102,John Delaney,John Delaney,1060,-1042,John Delaney,98.42213624639636,-0.6145407912335206,0.6158676975894701,1109,3512,0.5577453336896616
Tim Ryan,2749,Tim Ryan,Tim Ryan,802,-1947,Tim Ryan,84.21824343967269,-0.5482804995245875,0.773058262472982,1062,3618,0.7572300739440083
Michael Bennet,2187,Michael Bennet,Michael Bennet,438,-1749,Michael Bennet,111.16839491343362,-0.514778910478608,0.6634344638061277,1101,2855,0.5881826899763525
Mike Gravel,1672,Mike Gravel,NA,0,-1672,Mike Gravel,61.14804856348863,-0.8643039500765457,0.25110751082866173,1063,365,0.3026460361810969
Marianne Williamson,1504,Marianne Williamson,Marianne Williamson,1309,-195,Marianne Williamson,119.487208091414,-0.5657335783466821,0.5518338730611888,1290,3176,0.5087890549486528
Seth Moulton,522,Seth Moulton,Seth Moulton,604,82,Seth Moulton,519.1260805850402,-0.4650580329959756,0.1150068052367152,1510,1729,0.08504640191174884
Kirsten Gillibrand,739,Kirsten Gillibrand,Kirsten Gillibrand,3849,3110,Kirsten Gillibrand,256.86954589631165,0.3405178124955671,0.8572626146665341,1408,8940,0.9388088286556993
Bill de Blasio,281,Bill de Blasio,Bill de Blasio,2875,2594,Bill de Blasio,354.1271027149261,0.2942686562627783,0.5511244918539344,1638,6558,0.4928624633201738
Tom Steyer,1343,Tom Steyer,Tom Steyer,696,-647,Tom Steyer,212.7562586609242,-0.14161640812752654,0.7839505048955664,1265,3558,0.7515969839481536
NA,0,Eric Swalwell,Eric Swalwell,1262,1262,Eric Swalwell,1552.9104376024288,-0.07685432390407934,0.08225622684593226,1647,3262,0.13992240548049434
NA,0,Joe Sestak,Joe Sestak,6,6,Joe Sestak,87.31857562827673,-0.8898705234416013,0.17178475361137807,1211,325,0.09330152322023058
