Candidate,State,Year,For,Against,Total,Office,Tag,Highlight
Bernie Sanders,Vermont,2018,183649,74815,272330,Senator,Bernie Sanders,1
Zuckerman,Vermont,2018,158512,108395,271295,Lieutenant Governor,Lieutenant Governor,0
Welch,Vermont,2018,188547,70705,272451,Representative,Representative,0
Hallquist,Vermont,2018,110335,151261,274087,Governor,Governor,0
Condos,Vermont,2018,178863,79035,267712,Secretary of State,Secretary of State,0
Pearce,Vermont,2018,179451,85824,265436,Treasurer,Treasurer,0
Donovan,Vermont,2018,187093,70226,278230,Attorney General,Attorney General,0
Hoffer,Vermont,2018,160291,88021,278230,Auditor,Auditor,0
Shumlin,Vermont,2012,170749,110940,295412,Governor,Governor,0
Pearce,Vermont,2012,147700,114947,282281,Treasurer,Treasurer,0
Hoffer,Vermont,2012,140805,123806,274268,Auditor,Auditor,0
Gekas,Vermont,2012,115015,162767,301123,Lieutenant Governor,Lieutenant Governor,0
Welch,Vermont,2012,208600,67543,289753,Representative,Representative,0
Bernie Sanders,Vermont,2012,207848,72898,292762,Senator,Bernie Sanders,1
Bernie Sanders,Vermont,2006,171638,84924,262419,Senator,Bernie Sanders,1
Welch,Vermont,2006,139815,117023,262726,Representative,Representative,0
Parker,Vermont,2006,108090,148014,262524,Governor,Governor,0
Salmon,Vermont,2006,111741,111637,246861,Auditor,Auditor,0
Collier,Texas,2018,3860865,4260990,8305371,Lieutenant Governor,Lieutenant Governor,0
Paxton,Texas,2018,3898098,4193207,8292615,Attorney General,Attorney General,0
Chevalier,Texas,2018,3570693,4376828,8228602,Comptroller,Comptroller,0
Suazo,Texas,2018,3567927,4435202,8261611,Commissioner of Land,Commissioner of Land,0
Olson,Texas,2018,3822137,4221527,8235303,Commissioner of Agriculture,Commissioner of Agriculture,0
McAllen,Texas,2018,3612130,4376729,8226843,Railroad commissioner,Railroad commissioner,0
Kirkland,Texas,2018,3838411,4358756,8197167,Judge,Judge,0
Sandill,Texas,2018,3792144,4399890,8192034,Judge,Judge,0
Cheng,Texas,2018,3796001,4404602,8200603,Judge,Judge,0
Jackson,Texas,2018,3734179,4288913,8210476,Judge,Judge,0
Franklin,Texas,2018,3750114,4429113,8179227,Judge,Judge,0
Valdez,Texas,2018,3546615,4656196,8343443,Governor,Governor,0
Beto O'Rourke,Texas,2018,4045632,4260553,8371655,Senator,Beto O'Rourke,1
House of Representatives,Texas,2018,3852752,4135359,8202708,House of Representatives,House of Representatives,0
State House,Texas,2018,3585231,4043115,7705104,State House,State House,0
Cory Booker,New Jersey,2014,1043866,791297,1869535,Senator,Cory Booker,1
House of Representatives,New Jersey,2014,914172,877265,1821365,House of Representatives,House of Representatives,0
